"YesHotFlash","NoHotFlash"
13.825,5.155
6.635,16.765
10.855,8.72
7.23,7.625
6.025,8.805
21.625,5.16
6.04,4.53
5.375,5.545
8.72,4.92
5.22,8.42
6.65,12.13
8.915,6.165
9.065,8.11
23.98,6.34
10.115,12.655
6.335,11.39
6.65,7.75
7.245,17.18
5.325,6.275
6.335,10.29
6.515,4.415
7.765,8.24
3.645,5.055
6.48,6.65
8.675,10.275
6.34,3.645
10.59,5.535
6.895,14.79
14.79,12.955
11.47,6.775
5.61,6.635
12.1,11.94
6.01,5.505
5.055,6.04
28.445,7.23
11.94,9.2
17.26,6.335
8.28,8.22
15.945,20.015
8.22,5.855
7.2,7.66
6.275,7.495
22.755,28.445
8.805,21.625
17.18,6.83
6.71,15.945
7.865,23.98
7.065,13.825
8.11,8.505
6.83,7.27
